GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34001005101,34,001,005101,473.52,533.41,7.31,2.79,1.39,0.7,2.09,0.35,475.26,511.12,2.79,10.45,2.44
34001005102,34,001,005102,470.94,530.5,7.27,2.77,1.39,0.69,2.08,0.35,472.67,508.34,2.77,10.39,2.42
34001005103,34,001,005103,414.78,467.2,6.4,2.44,1.22,0.61,1.83,0.31,416.3,447.69,2.44,9.15,2.14
34001005201,34,001,005201,241.05,222.91,2.54,1.76,0.98,0.39,0,0,235.98,214.13,0.98,2.15,2.15
34001005202,34,001,005202,539.72,499.11,5.68,3.93,2.18,0.87,0,0,528.37,479.46,2.18,4.81,4.8
34001005203,34,001,005203,439.39,406.33,4.62,3.2,1.78,0.71,0,0,430.14,390.33,1.78,3.91,3.91
34001010101,34,001,010101,383.32,119.54,1.6,1.13,0.14,1.03,0.19,0.14,373.35,101.66,1.98,6.82,1.36
34001010102,34,001,010102,379.82,118.45,1.58,1.12,0.14,1.03,0.19,0.14,369.93,100.73,1.96,6.76,1.35
34001010103,34,001,010103,799.72,249.4,3.34,2.36,0.29,2.16,0.39,0.29,778.91,212.1,4.12,14.23,2.85
34001010104,34,001,010104,441.32,137.07,1.83,1.3,0.16,1.19,0.22,0.16,429.61,116.55,2.26,7.89,1.57
34001010201,34,001,010201,738.11,136.03,1.61,1.61,0.4,2.01,0.4,0,680.56,111.48,2.01,18.51,2.01
34001010202,34,001,010202,635.35,117.09,1.39,1.39,0.35,1.73,0.35,0,585.81,95.96,1.73,15.94,1.73
34001010203,34,001,010203,456.15,84.07,0.99,0.99,0.25,1.24,0.25,0,420.58,68.9,1.24,11.44,1.24
34001010301,34,001,010301,644.38,200.95,2.69,1.9,0.24,1.74,0.32,0.24,627.62,170.9,3.32,11.47,2.29
34001010302,34,001,010302,969.08,302.21,4.04,2.85,0.36,2.62,0.48,0.36,943.87,257.02,5,17.25,3.45
34001010303,34,001,010303,380.77,118.74,1.59,1.12,0.14,1.03,0.19,0.14,370.86,100.99,1.96,6.78,1.36
34001010304,34,001,010304,306.16,95.48,1.28,0.9,0.11,0.83,0.15,0.11,298.19,81.2,1.58,5.45,1.09
34001010401,34,001,010401,198.98,62.05,0.83,0.59,0.07,0.54,0.1,0.07,193.8,52.77,1.03,3.54,0.71
34001010402,34,001,010402,1035.01,322.77,4.32,3.05,0.38,2.79,0.51,0.38,1008.08,274.5,5.34,18.42,3.68
34001010403,34,001,010403,250.25,78.04,1.04,0.74,0.09,0.68,0.12,0.09,243.74,66.37,1.29,4.45,0.89
34001010404,34,001,010404,139.8,43.6,0.58,0.41,0.05,0.38,0.07,0.05,136.16,37.08,0.72,2.49,0.5
34001010501,34,001,010501,438.94,136.89,1.83,1.29,0.16,1.19,0.22,0.16,427.52,116.42,2.26,7.81,1.56
34001010502,34,001,010502,353.76,110.32,1.48,1.04,0.13,0.96,0.17,0.13,344.56,93.82,1.82,6.3,1.26
34001010601,34,001,010601,222.48,69.38,0.93,0.66,0.08,0.6,0.11,0.08,216.69,59.01,1.15,3.96,0.79
34001010602,34,001,010602,707.52,220.64,2.95,2.08,0.26,1.91,0.35,0.26,689.11,187.65,3.65,12.59,2.52
34001010603,34,001,010603,208.95,65.16,0.87,0.62,0.08,0.56,0.1,0.08,203.51,55.42,1.08,3.72,0.74
34001010604,34,001,010604,227.99,71.1,0.95,0.67,0.08,0.62,0.11,0.08,222.06,60.47,1.18,4.06,0.81
34001015101,34,001,015101,524.89,918.79,11.49,4.8,0,0,0.95,2.85,499.74,925.34,2.95,8.64,1.97
34001015201,34,001,015201,476.02,700.83,5.86,3.91,0,0,0,0,441.81,697.9,6.84,4.89,4.89
34001015301,34,001,015301,566.65,712.25,6.89,2.95,0,0.98,0.98,0,538.12,703.39,1.97,7.87,4.92
34001015401,34,001,015401,556.07,599.44,5.78,1.93,0.96,0.96,0.96,0,558.96,558,2.89,10.6,3.85
34001020001,34,001,020001,261.33,309.04,4.07,2.17,0,1.08,0.81,0.81,257.54,286.54,3.8,8.4,1.08
34001020002,34,001,020002,702.67,830.96,10.93,5.83,0,2.92,2.19,2.19,692.46,770.46,10.2,22.6,2.92
34001025001,34,001,025001,391.63,535.84,6.41,2.75,1.14,0.46,0.69,0.46,388.66,504.94,2.06,9.16,5.49
34001025002,34,001,025002,280.47,378.04,4.53,1.93,0.8,0.32,0.49,0.33,278.09,355.99,1.51,6.83,3.88
34001025003,34,001,025003,679.65,929.89,11.12,4.77,1.99,0.79,1.19,0.79,674.48,876.27,3.57,15.89,9.53
34001025004,34,001,025004,368.17,503.73,6.02,2.58,1.08,0.43,0.65,0.43,365.37,474.68,1.94,8.61,5.16
34001030101,34,001,030101,131.58,249.61,1.4,1.12,0.04,0.01,1.05,0.06,124.87,247.17,1.35,3.24,1.1
34001040001,34,001,040001,1096.13,1013.32,15.85,6.05,2.12,3.32,1.95,1.19,1062.17,975,8.23,24.66,6.15
34001040002,34,001,040002,335.24,309.66,4.85,1.83,0.65,1.03,0.59,0.36,324.89,297.73,2.5,7.62,1.88
34001040003,34,001,040003,502.01,463.7,7.27,2.74,0.97,1.55,0.89,0.54,486.51,445.84,3.75,11.4,2.82
34001040004,34,001,040004,463.62,429.69,6.72,2.54,0.89,1.42,0.82,0.51,449.31,413.14,3.46,10.53,2.6
34001040005,34,001,040005,401.1,370.5,5.81,2.19,0.77,1.24,0.71,0.43,388.71,356.23,3,9.11,2.25
34001040006,34,001,040006,267.96,247.51,3.88,1.47,0.52,0.83,0.47,0.29,259.68,237.98,2,6.09,1.51
